ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
32,Modern Requirements,Modern Requirements,,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Wernette, Shaun","Wernette, Shaun",EDT,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=32&e=RiSZEU,,Routine,/:x:/s/AIStrategy/IQB6dIz6eF--S6CQgZwoH_y_AWj5wRQ2jdQKYnzDUg60a8g?e=tqfDTK,,"Automate Requirement Creation – Reduce manual effort with AI-driven suggestions.
Enhance Quality & Compliance – Identify ambiguities, gaps, and inconsistencies.
Improve Efficiency – Streamline documentation for faster decision-making.
Strengthen Traceability – Ensure alignment with regulatory and organizational standards.","Modern Requirements CoPilot leverages AI to automate and enhance requirements management within the development lifecycle.

Intended Use:
CoPilot assists in generating, analyzing, and validating requirements, improving clarity, consistency, and efficiency while integrating with DevOps workflows.","AIOC updated. Approved by EA ARC officially on 3/10/2026. Approved, not by AI ARC back on 7/10/2025",Routine,TRUE,TRUE,Internal sensitive information,Modern Requirements,,TRUE,,,High,Yes,"Abreu, Matthew",3/14/25,7/14/25 12:33,2025,,5/28/25,3/10/26,,,,,Internal employees working on requirements management and contractors utilizing Stryker IDs,No,,,,,,,,,,,,5/4/26 6:00,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
33,Nova,Nova,,Completed,8. Reject,12. Complete,New Use Case,"De la Torre, Gustavo","De la Torre, Gustavo",Build,"Foster, Allison","Foster, Allison",Trauma & Extremities,,,Routine,,,,,Reject,,TRUE,TRUE,,,,TRUE,,,,Yes,"Elizondo, Carlos",11/14/24,7/14/25 12:35,2024,,,,,,,,"Foster, Allison",Yes,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
34, Articulate AI,Articulate AI,,Completed,6. Approved as Exception,12. Complete,AI Governance Completed,"Vargas, Josue David","Ballestero, Michael",Add-On,"Machado, Rashmi","Machado, Rashmi",Endoscopy,/:p:/s/AIIntakeTeam/EQWcD_xM62FLjYrnKOfMdxwBF7KpscuM2D0Tz6rgv2C9Qw?e=0agj3k,,Routine,/:x:/r/sites/AIIntakeTeam/Shared%20Documents/Requests/Submissions/Articulate%20AI/ARTICULATE%20AI%20-%20AI%20Risk%20Intake%20Questionnaire.xlsx?d=w103b9de8bf694311a8f59503f5f39a4c&csf=1&web=1&e=GyXblt,,,Quiz content generation for training teams,,,TRUE,TRUE,,,,FALSE,,,High,Yes,"Elizondo, Carlos",2/6/25,7/14/25 12:39,2025,,,,,,,,"Martinez, Marta",No,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
35,Azure AI Speech,Azure AI Speech,,Completed,6. Approved as Standard,12. Complete,AI Governance Completed,"De la Torre, Gustavo","Ballestero, Michael",Buy,"Eavey, Ryan","Eavey, Ryan",Legal,,,Routine,/:x:/s/AIStrategy/IQBz1YvquYkCQqTepaTUF38IAdqpN9PUyi9Uz8I5rBjlMQQ?e=TlkPp5,,,AI-translated audio generation for compliance training teams,,,TRUE,TRUE,,,,FALSE,,,High,Yes,"Abreu, Matthew",2/6/25,7/14/25 12:41,2025,,,,,,,,,No,,,,,,,,,,,,5/4/26 5:56,30,Not Required,Not Required,Not Required,,,,,0,Corporate,,,,,,,,0
36,ON1 Resize,ON1 Resize,AI Office,On Hold,1. Discovery,03. Build/Buy/Adapt Analysis,Additional Info Needed,"Ballestero, Michael","Flores, Fernando",Buy,"Anastasio, James","Anastasio, James",Trauma & Extremities,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=70&e=LjYioy,,Time-Sensitive,/:x:/s/AIStrategy/IQB4W7Wf3jruRqDb3TvylLwsAftfj69Mcu6mh9NCVSwrEXg?e=URa1da,1218 --> Fer to follow up to check if we can close it.,"I need the software to enlarge photos for pull-up banners and the large graphics we print for our tradeshow booths. If I enlarge photos without using the software, the photos are low resolution and look pixelated.",ON1 Resize AI (Version 2023.5) is a photo enlargement software that enlarges images while maintaining detail and sharpness. It can be used as a standalone program or as a plugin for Adobe Photoshop.,AIOC updated,Routine,TRUE,FALSE,Internal images,ON1 Resize,,FALSE,,,High,Yes,"Abreu, Matthew",5/21/25,7/14/25 12:43,2025,,5/21/25,6/12/25,,,,,"Lindenfelser, Bonnie",No,,,,,,,,,,,,5/4/26 6:26,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
37,Otter.ai,Otter.ai,,Completed,6. Approved as Exception,12. Complete,AI Governance Completed,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Rama, Ritu","Petersen, Stacey",Neurovascular,,,Urgent,/:x:/s/AIStrategy/IQCgiOFEMgxLRKlaE8N2IvjVAZwJTjY4YCarorEKCnpaakI?e=umJtJL,,"We regularly conduct physician interviews domestically and internationally, receiving transcripts from third-party vendors that are often costly and sometimes in local languages. Otter.ai offers an affordable alternative at $30/month per license for 6,000 minutes, significantly less than the cost of a single third-party transcription. Additionally, Otter.ai provides translation services and facilitates streamlined analysis, enabling faster insights. This solution will reduce expenses, improve workflow efficiency, and support high-quality deliverables.",Our team requests approval for five Otter.ai licenses to enhance efficiency and cost-effectiveness in market research analysis.,"11/3: Team presented at AI ARC and only approved 15 licenses as an exception.
AIOC updated",Routine,TRUE,TRUE,"Conversations that can happen in platforms like Zoom, Skype, Teams and in person. It includes sensitive voice, face and text information.",Otter.ai,,FALSE,,,Medium,Yes,"Elizondo, Carlos",12/17/24,7/14/25 12:46,2024,,2/11/25,2/13/25,,11/3/25,,,Neurovascular team,No,,,,,,,,,,,,3/20/26 11:29,30,Required,Required,Completed,,,,,0,Commercial US,,,,,,,,0
38,Azure AI Translation,Azure AI Translation,,Completed,6. Approved as Standard,12. Complete,AI Governance Completed,"Vargas, Josue David","Ballestero, Michael",Buy,"Sterling, Randall","Hinz, Walter",EDT,/:p:/s/AIIntakeTeam/ESox5yuOV8RElwUR0azjn0UBGt3nve1Ysm0MTPU-ZOqT4Q?e=WVNAQm,,Urgent,/:x:/s/AIIntakeTeam/EQK-8CCWHD5At5lD_qxMBMABTYXBw7S1Yjkk3kSX2vNfgQ?e=8zXXbE,,,AI chat translation for IT help desk support,AIOC updated,,TRUE,TRUE,,,,FALSE,,,High,Yes,"Abreu, Matthew",4/23/25,7/14/25 12:49,2025,,4/23/25,5/8/25,,7/28/25,,,"Sterling, Randall",No,,,,,,,,,,,,5/4/26 5:57,42,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
39,Azure DevOps Assistant,Azure DevOps Assistant,AI Office,Completed,8. Bad Information,01. Use Case Submission,New Use Case,"Vargas, Josue David","Ballestero, Michael",Buy,"Vargas, Josue David",,EDT,,,Routine,/:x:/s/AIStrategy/IQCa2mBJVznGSKSf9wPbiVijAbaP1TLyA0Us5VWsSNiY9xM?e=sfOgLc,,,,,,TRUE,TRUE,,,,TRUE,,,,Yes,"Abreu, Matthew",2/6/25,7/14/25 12:50,2025,,,,,,,,"Owner: Jain04, Vikas",No,,,,,,,,,,,,5/4/26 6:11,50,Not Required,Not Required,Completed,,,,,0,EDT,,,,,,,,0
40,OverView AI,OverView AI,,Completed,6. Approved not by AI ARC,12. Complete,New Use Case,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"OLeary, Colette","OLeary, Colette",Medical,,,Routine,/:x:/s/AIStrategy/IQCa2mBJVznGSKSf9wPbiVijAbaP1TLyA0Us5VWsSNiY9xM?e=sfOgLc,,Automated vision inspection camera for manufacturing quality control. ,"Overview which is used to analyse our equipment products more kind of quality controls to make sure that whether the part has been qualified or not qualified and no sensitive data is being used to train the model.  

It’s a camera that is used for inspection like a Keyence or Cognex system with machine learning which we have already deployed thousands of.  

The camera inspection systems like Keyence that we have in various GQO Mfg plants, e.g. FlowerMound. We do not have an EA “Standard” for these camera systems, and we’ve not been asked to define one (as it’s not really possible to define a particular standard brand/camera).  

 

The OV20i, is an edge device that does not connect in any way back to us at any point. The images never leave the camera unless exported explicitly by the end user to their servers. This means that there is minimal IT risk, minimal data loss risk, minimal AI risk. 

 

One Trust completed - 15160 

AI Council (AIOC) – Approved",AIOC updated,Routine,TRUE,TRUE,Highly sensitive internal machine data,OverView AI,4-Complete,FALSE,,,Low,Yes,"Abreu, Matthew",2/6/25,7/14/25 12:53,2025,,2/12/25,,,,,,Manufacturing and Quality control teams,No,,,,,,,,,,,,5/4/26 6:00,30,Not Assessed,Not Assessed,Completed,,,,,0,Commercial US,,,,,,,,0
41,Planview AI,OverView AI,AI Office,Completed,6. Approved for Use,12. Complete,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Turner, Mandi","Turner, Mandi",EDT,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=80&e=wh3y1p,,Routine,/:x:/s/AIStrategy/IQAtRJW48fZFR5PFu8z6hRJCAfzNW38iv1ysfBltJxnHVXE?e=uw4ZAS,,"light use case to begin with. Planview may add additional capabilities. The ultimate goal would be to allow identification of potential interdependencies based on resoures, outcomes, okrs within planview and help project managers identify risks and issues based on trends within their projects or their programs and portfolios","Planview CoPilot enablement: Risk identification, trend in project schedule, financials and resources, help searching","AIOC updated. Approved by EA ARC officially on 3/10/2026. Approved, not by AI ARC back on 7/10/2025",Routine,TRUE,TRUE,Internal sensitive financial information,Planview AI,,FALSE,,,High,Yes,"Abreu, Matthew",5/12/25,7/14/25 12:57,2025,,6/18/25,3/10/26,,,,,Internal use / all employees,No,,,,,,,,,,,,5/4/26 6:00,30,Not Assessed,Not Assessed,Completed,,,,,0,EDT,,,,,,,,0
42,Project Dobby,Project Dobby,,On Hold,1. Discovery,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Vargas, Josue David","Ballestero, Michael",Co-Build,"De la Torre, Gustavo","Murray, Kate",GQO,,,Urgent,/:x:/s/AIIntakeTeam/EYIbZ9kgWKFIrZYP1cNL130Bd_-FrJGeBnAsLlv6m7YBzw?e=aYrVGH,"Josue: 17/12 asked Kate Murray about status of the project, she said she was going to check",The goal of Project Dobby is to create a chatbot for XR System Support that the Mako Tier 1 team will utilize to troubleshoot issues and questions from the field related to the XR headset SW and HW.,"This project is a chatbot the would support the Mako Tier 1 Team on the XR Headset's SW and HW technical problems they could face. Brian Fouts' team had developed ""Goldie"" and wanted to implement that RAG model into this project but the complete system got paused. ",AIOC updated,Urgent,TRUE,TRUE,Internal troubleshooting support information,Citizen Development,,FALSE,,1007801,High,Yes,"Elizondo, Carlos",2/6/25,7/14/25 13:11,2025,,2/11/25,2/13/25,,,,,Mako tier 1 team,No,,,,,,,,,,,,3/27/26 7:09,30,Not Assessed,Not Assessed,Required,,,,,0,GQO,,,,,,,,0
43,BrightEdge,BrightEdge,,Completed,6. Approved not by AI ARC,12. Complete,New Use Case,"Vargas, Josue David","Ballestero, Michael",Buy,"Campomanes, Bridget","Campomanes, Bridget",Corporate Affairs,,,Routine,/:x:/r/sites/AIIntakeTeam/Shared%20Documents/Requests/Submissions/BrightEdge/BrightEdge%20AI%20-%20AI%20Risk%20Intake%20Questionnaire.xlsx?d=we2cd3e849623442ba644815cc033bafc&csf=1&web=1&e=M7A9Xl,,,AI-driven internal linking for website SEO enhancement,AIOC updated,,TRUE,TRUE,,,,FALSE,,,Medium,Yes,"Abreu, Matthew",2/6/25,7/14/25 13:14,2025,,2/19/25,2/13/25,,,,,"Owner: Austin, Scott",No,,,,,,,,,,,,5/4/26 5:57,30,Not Assessed,Not Assessed,Completed,,,,,0,Corporate,,,,,,,,0
45,Seamless.ai,Seamless.ai,AI Office,Completed,8. Reject,12. Complete,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Garrow, Sally","Rapoza , Ernie",Vocera,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=53&e=WHlgxe,,Routine,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=80&e=wh3y1p,,Difficulty locating contact information and information parsing for different healthcare systems.,Seamless.AI is a tool to help locate publicly available contact information based off filters added into their system (i.e. Healthcare C-Suite). It can also help write emails and manage the open rate/click rate.,AIOC updated/Rejected/No Risk Assessment,Routine,TRUE,TRUE,Healthcare databases / sensitive,Seamless.ai,,FALSE,,,Medium,Yes,"Abreu, Matthew",3/26/25,7/14/25 13:22,2025,,3/26/25,4/10/25,,,,,Internal Stryker only employees,No,,,,,,,,,,,,5/4/26 6:11,30,Not Assessed,Not Assessed,Completed,,,,,0,Other,,,,,,,,0
46,BTS,BTS,,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"De la Torre, Gustavo","De la Torre, Gustavo",Buy,"Pizarro, Laurie","Pizarro, Laurie",HR,/:p:/s/AIIntakeTeam/EQbd62dU5exIq4ZLkuLYJwMB715lChp4LtScBZ6SO6_kwQ?e=dEu12h,,Time-Sensitive,/:x:/s/AIIntakeTeam/EUCbBao8yhpMlnxCByyCvUYBM6U0O1woIRUuuftL9nfnbw?e=rs1bhr,,,AI performance coaching for employees,AIOC updated,,TRUE,TRUE,,,,TRUE,,,Low,Yes,"Abreu, Matthew",6/13/25,7/14/25 13:25,2025,,7/9/25,7/10/25,,9/15/25,,,"Owner: Serocka, Dorota",No,,,,,,,,,,,,5/4/26 5:57,30,Required,Required,Completed,,,,,0,Corporate,,,,,,,,0
47, Buddy BI - GLOBI,Buddy BI - GLOBI,,On Hold,1. Discovery,01. Use Case Submission,New Use Case,"Vargas, Josue David","Ballestero, Michael",Co-Build,"Jha, Anand",,GLO,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=34&e=AZQwle,,Routine,/:x:/s/AIStrategy/IQCjuVfSe2NXRol-jeuFgoe4AQ8YP-r_fMAydrmaWWR5F0c?e=QBSG0m,Josue: 17/12 I asked Anand Jhan and didn't answered back,,AI-enabled BI process guidance for employees,AIOC updated,,TRUE,TRUE,,,,FALSE,,,High,Yes,"Elizondo, Carlos",2/6/25,7/14/25 13:31,2025,,2/26/25,3/27/25,,,,,"Owner: Jha, Anand; Gupta, Vaibhav",No,,,,,,,,,,,,3/27/26 7:09,30,Not Assessed,Not Assessed,Required,,,,,0,GQO,,,,,,,,0
48,Checkbox AI,Checkbox AI,AI Office,Completed,6. Approved not by AI ARC,12. Complete,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Roland, Terrence","Roland, Terrence",Legal,/:p:/s/AIIntakeTeam/EWgbbRKnkVRBlfXwzL5yFKkBW9pi9NrpIjqCobOBA-atxg?e=Ide1S9,,Urgent,/:x:/s/AIIntakeTeam/ETBAc4hj8KtGoCJoZTuc9dkB7icd2p9SOOtjzLcWsi2i7A?e=H23grW,,,AI-assisted intake and workflow triage for legal teams,AIOC updated,,TRUE,TRUE,,,,TRUE,,,High,Yes,"Abreu, Matthew",4/30/25,7/14/25 13:33,2025,,4/30/25,6/12/25,,,,,"Owner: Acevedo, Megan",No,,,,,,,,,,,,5/4/26 5:57,30,Not Assessed,Not Assessed,Completed,,,,,0,Corporate,,,,,,,,0
49,Clinical GDP AI Project,Clinical GDP AI Project,,In-Progress,3.Demand,06. Pre-DRB,New Use Case,"De la Torre, Gustavo","Heller, Amanda",Adapt,"Vargas, Josue David","Petersen, Stacey",Medical,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=38&e=84FTJF,"Tindol, Blake",Time-Sensitive,/:x:/s/AIStrategy/IQCpQQzEMs5ESYKdcKHcMaLdATkjjeN3ZdoNmu6uHH5jI4c?e=vKKYMR,11:10: Candidate for Aura,,"Implement a **pilot** project utilizing Azure AI Document Intelligence to optimize and streamline the review process of clinical documents, ensuring compliance with Good Documentation Practices (GDP)",AIOC Updated,,TRUE,TRUE,,,1-Analysis,FALSE,"This project is technically on-hold but they want to continue this process in case the resource allocation is approved, this project is needed by 4Q25 or 1Q26",1008641,High,Yes,"Elizondo, Carlos",2/14/25,7/14/25 13:37,2025,,5/28/25,6/12/25,,,,20%,"Owner: Daoang, Stacy; Prince, Varun
",Yes,,,,,,,,,,,,3/27/26 7:09,43,Not Assessed,Not Assessed,Required,3,4,1,0,8,Commercial US,Medium $250k,"$250,000.00 ",,,"$250,000.00 ",5,1,57.5
50,Compliance Portal,Compliance Portal,,On Hold,1. Ideation,01. Use Case Submission,New Use Case,"De la Torre, Gustavo","Ballestero, Michael",Build,"Vargas, Josue David","Eavey, Ryan",Legal,,,Time-Sensitive,,"Josue: I asked Paul Eavey, answered: Please request a status update from Paul Cusick or Tasha Forrester in January as I'm no longer involved in that project. ",,,No Risk Assessment,,TRUE,TRUE,,,,FALSE,,,,Yes,"Elizondo, Carlos",2/10/25,7/14/25 13:40,2025,,,,,,,,,No,,,,,,,,,,,,3/27/26 7:13,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
51,Coupa Navi AI,Coupa Navi,AI Office,In-Progress,1. Discovery,11. Active Downstream Assessments,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"OLeary, Colette",,,,,Routine,/:x:/s/AIStrategy/IQAE7NBzDZ7bS6tSeDoMAYQhAbvSJFSMPx8Qg8TKDQNdfHY?e=jekoPH,11/10: Gus to follow up and cc Mike and Fer. 12/09 --> Asking if the tool is already acquired. 12/11 --> Send Risk Form to continue the process,,,,,TRUE,TRUE,,,,TRUE,,,Medium,Yes,"Abreu, Matthew",2/6/25,7/14/25 13:41,2025,,,,,,,,"Owner: Muino, Candela Maria",No,,,,,,,,,,,,5/4/26 8:14,30,Not Assessed,Not Assessed,Required,,,,,0,Other,,,,,,,,0
52,Semgrep AI Assistant,Semgrep AI Assistant,AI Office,New Submission,1. Discovery,01. Use Case Submission,New Use Case,"Flores, Fernando","Flores, Fernando",Buy,"Wates, Caroline","Wates, Caroline",EDT,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=39&e=QQ1v2P,,Time-Sensitive,/sites/AIIntakeTeam/Lists/AI%20Intake%20Requests/DispForm.aspx?ID=39&e=V5bBI7,11/10: mike to follow up on top of Fer's email. 12/09 No respond yet.,"The code snippet that Semgrep Assistant pulls is the lines of code with the potential vulnerability, and then 30 lines above and 30 lines below. This provide context to the vulnerability to verify its potiential risk. Once Semgrep Assistant completes the analysis, all data is removed from the process. No data is retained or trained with. ",Semgrep SAST locates potential vulnerabilities within Styker code. Semgrep AI Assistant will analyze the snippet of code to verify if it’s a true positive. Once verified the AI Assistant will provide step by step recommendations on remediation steps. ,AIOC updated/ No risk assessment,Time-Sensitive,FALSE,TRUE,N/A,Semgrep AI Assistant,,FALSE,,,High,Yes,"Abreu, Matthew",2/14/25,7/14/25 13:43,2025,,2/26/25,3/27/25,,,,,DRE Product Security Users,No,,,,,,,,,,,,5/4/26 8:08,30,Not Assessed,Not Assessed,Assessment Pending,,,,,0,EDT,,,,,,,,0
53,CSR Compass,CSR Compass,,Completed,7. Monitoring,12. Complete,AI Governance Completed,"Ballestero, Michael","Heller, Amanda",Adapt,"Vargas, Josue David","Willard, Richie",Trauma & Extremities,,"Tindol, Blake",Routine,/:x:/s/AIStrategy/IQAXJamxJaAIQKDgCnaXXtR8ARPcK7oqQmH4mJGkPglzIGw?e=52Q4hY,Productivity Project,,,AIOC updated,,TRUE,TRUE,,,4-Complete,FALSE,Build as a feature of Project Zig Zag. In development.,1008635,,Yes,"Elizondo, Carlos",7/9/25,7/14/25 13:54,2025,,8/27/25,,,10/20/25,,100%,,Yes,"1,152,047",,,,,,,,,,,3/27/26 7:14,33,Validated,Not Required,Completed,3,4,1,0,8,Commercial US,Small $78k,"$150,000.00 ",,,"$80,000.00 ",2,5,53.5
